Date,days,days_m,Bsr,dB,Kp1,Kp2,Kp3,Kp4,Kp5,Kp6,Kp7,Kp8,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,Ap,SN,F10.7obs,F10.7adj,D
01-01-2023,33238,33238.5,2583,11,2.333,3,2,2.667,1.667,2.667,3.667,4,9,15,7,12,6,12,22,27,14,108,152.6,147.5,2
02-01-2023,33239,33239.5,2583,12,2,2,1,1.667,1.333,1.333,2,3,7,7,4,6,5,5,7,15,7,109,146.4,141.5,2
03-01-2023,33240,33240.5,2583,13,1.333,0.333,0.667,0.333,1,2,2.333,2.667,5,2,3,2,4,7,9,12,6,108,148.5,143.6,2
04-01-2023,33241,33241.5,2583,14,4,4.667,4.333,3.333,3.333,2,1.667,0.667,27,39,32,18,18,7,6,3,19,96,151,146,2
05-01-2023,33242,33242.5,2583,15,0.333,0.667,1,1.333,2.667,3,2.667,2.667,2,3,4,5,12,15,12,12,8,112,154.3,149.2,2
06-01-2023,33243,33243.5,2583,16,1,0.333,0.333,0.667,1,0.333,1.333,1.333,4,2,2,3,4,2,5,5,3,131,172.4,166.7,2
07-01-2023,33244,33244.5,2583,17,1,2.333,1,0.333,0.333,2.667,2.333,0.333,4,9,4,2,2,12,9,2,6,133,178.9,173,2
08-01-2023,33245,33245.5,2583,18,2,2.333,2,1.667,3,1.333,1,0.667,7,9,7,6,15,5,4,3,7,135,183.8,177.8,2
09-01-2023,33246,33246.5,2583,19,1.667,0.333,0.333,1,0.667,1.667,2,1.333,6,2,2,4,3,6,7,5,4,148,190.9,184.7,2
10-01-2023,33247,33247.5,2583,20,0.667,0.667,0.667,0.667,2,3,1.667,2,3,3,3,3,7,15,6,7,6,179,193,186.6,2
11-01-2023,33248,33248.5,2583,21,1.667,2.667,1.667,1.667,1,2,2.333,2.333,6,12,6,6,4,7,9,9,7,168,195.1,188.7,2
12-01-2023,33249,33249.5,2583,22,3,2,2,1.667,2,2,1.667,3,15,7,7,6,7,7,6,15,9,171,211.6,204.7,2
13-01-2023,33250,33250.5,2583,23,2.333,1.667,2,2.333,2.333,1.667,3.333,4,9,6,7,9,9,6,18,27,11,178,208.5,201.7,2
14-01-2023,33251,33251.5,2583,24,3,3.333,2.333,1.667,0.667,1,1.667,2.667,15,18,9,6,3,4,6,12,9,189,227.8,220.4,2
15-01-2023,33252,33252.5,2583,25,4.667,3.667,3.667,3.667,3.667,3.667,4,5,39,22,22,22,22,22,27,48,28,199,234.3,226.7,2
16-01-2023,33253,33253.5,2583,26,4,1.667,3,3,3.333,3.333,1.667,0.667,27,6,15,15,18,18,6,3,14,190,228.1,220.7,2
17-01-2023,33254,33254.5,2583,27,0,1.667,1.667,1,1,0.333,0,3.333,0,6,6,4,4,2,0,18,5,188,221.7,214.6,2
18-01-2023,33255,33255.5,2584,1,4,4,3.333,2.667,2.667,2.333,1.667,0.667,27,27,18,12,12,9,6,3,14,195,220.3,213.2,2
19-01-2023,33256,33256.5,2584,2,0,1,2.667,2.667,2.333,0.333,0.667,1.333,0,4,12,12,9,2,3,5,6,205,226.1,218.9,2
20-01-2023,33257,33257.5,2584,3,1,1,0,1.333,1.667,2.667,1.333,1.333,4,4,0,5,6,12,5,5,5,206,217.5,210.6,2
21-01-2023,33258,33258.5,2584,4,2.333,4,4,1.667,2.333,3,3.333,2.667,9,27,27,6,9,15,18,12,15,195,208.7,202.1,2
22-01-2023,33259,33259.5,2584,5,2,1.333,2.333,2,2,2.333,3.333,1.667,7,5,9,7,7,9,18,6,8,166,198.6,192.3,2
23-01-2023,33260,33260.5,2584,6,0.333,1.667,1,0.667,3,2,1.333,2.333,2,6,4,3,15,7,5,9,6,162,189.1,183.2,2
24-01-2023,33261,33261.5,2584,7,1,0.333,0.667,1.333,1.333,1,0.667,0.333,4,2,3,5,5,4,3,2,4,151,180.2,174.6,2
25-01-2023,33262,33262.5,2584,8,0,0,0.333,2,3,2.333,1.667,1.333,0,0,2,7,15,9,6,5,6,137,171.8,166.5,2
26-01-2023,33263,33263.5,2584,9,1,2.667,2.667,2.333,2.667,2.667,2.667,1,4,12,12,9,12,12,12,4,10,110,150.6,146,2
27-01-2023,33264,33264.5,2584,10,0.667,0.333,1.667,2.333,2.667,3.333,1.667,2.333,3,2,6,9,12,18,6,9,8,86,144.9,140.5,2
28-01-2023,33265,33265.5,2584,11,3,2.667,2,1,2.667,2.333,2.667,1.333,15,12,7,4,12,9,12,5,10,85,137.6,133.4,2
29-01-2023,33266,33266.5,2584,12,0,0.333,2,1,1,2,0.667,1.667,0,2,7,4,4,7,3,6,4,79,137,132.9,2
30-01-2023,33267,33267.5,2584,13,1,0.333,0.667,1,0.667,0.667,1,2.667,4,2,3,4,3,3,4,12,4,76,135.9,131.9,2
31-01-2023,33268,33268.5,2584,14,0,2,2.667,2,1,3.333,2.333,1.667,0,7,12,7,4,18,9,6,8,80,137,132.9,2
01-02-2023,33269,33269.5,2584,15,1,0.667,0.333,0.333,1,1.333,2.667,2.333,4,3,2,2,4,5,12,9,5,72,133.5,129.6,2
02-02-2023,33270,33270.5,2584,16,3.333,1.667,0.333,0.667,0.333,0,0.333,0.667,18,6,2,3,2,0,2,3,4,58,134.9,131,2
03-02-2023,33271,33271.5,2584,17,2,1.667,0.333,0.333,1.667,3,2.667,1.667,7,6,2,2,6,15,12,6,7,64,134.5,130.7,2
04-02-2023,33272,33272.5,2584,18,2.667,2.667,0.667,0.333,1,0.667,0,1,12,12,3,2,4,3,0,4,5,71,139,135.1,2
05-02-2023,33273,33273.5,2584,19,0.333,2,0.333,1,1,1.333,1.667,1.333,2,7,2,4,4,5,6,5,4,74,144,140,2
06-02-2023,33274,33274.5,2584,20,3,3.333,2.667,3.333,2.667,2.333,3.667,3.667,15,18,12,18,12,9,22,22,16,111,156.7,152.4,2
07-02-2023,33275,33275.5,2584,21,4,4,3.333,3.667,3,3,2.667,2.667,27,27,18,22,15,15,12,12,18,107,184.7,179.7,2
08-02-2023,33276,33276.5,2584,22,3,3.333,3,4,3.333,2.667,3.333,3,15,18,15,27,18,12,18,15,17,125,197.6,192.3,2
09-02-2023,33277,33277.5,2584,23,3,4,2.667,3,2.333,3.333,3.333,4.333,15,27,12,15,9,18,18,32,18,129,214.9,209.1,2
10-02-2023,33278,33278.5,2584,24,4,2.667,2.333,2.667,3,2,3.333,3.667,27,12,9,12,15,7,18,22,15,163,207.8,202.3,2
11-02-2023,33279,33279.5,2584,25,3.333,3,2,2.333,2.333,1,1,0.333,18,15,7,9,9,4,4,2,8,166,209.5,204.1,2
12-02-2023,33280,33280.5,2584,26,1.667,2,1.667,2,1.667,1.667,2.333,2,6,7,6,7,6,6,9,7,7,159,199.7,194.6,2
13-02-2023,33281,33281.5,2584,27,0.667,0,0.667,0.667,2,1,1.333,1,3,0,3,3,7,4,5,4,4,177,189.2,184.4,2
14-02-2023,33282,33282.5,2585,1,2,0.333,2.333,2,1,1.333,0.667,2.333,7,2,9,7,4,5,3,9,6,159,179.7,175.3,2
15-02-2023,33283,33283.5,2585,2,2.667,3.667,5.333,4.333,3.333,4,3.333,4.333,12,22,56,32,18,27,18,32,27,121,173.7,169.5,2
16-02-2023,33284,33284.5,2585,3,3,2.667,5,4.333,4.333,4.333,1.333,1.333,15,12,48,32,32,32,5,5,23,91,163.2,159.2,2
17-02-2023,33285,33285.5,2585,4,1.667,3,2,1.333,1.333,0.667,1,0,6,15,7,5,5,3,4,0,6,86,343.1,335,2
18-02-2023,33286,33286.5,2585,5,1,2,0.667,1.333,2,0.667,2.333,2,4,7,3,5,7,3,9,7,6,104,167.4,163.6,2
19-02-2023,33287,33287.5,2585,6,2.667,0.667,1.333,1,2,1.333,1.333,1.333,12,3,5,4,7,5,5,5,6,107,169,165.2,2
20-02-2023,33288,33288.5,2585,7,0.667,0.333,1.667,3,2.333,1.667,2.333,1.667,3,2,6,15,9,6,9,6,7,112,159.8,156.3,2
21-02-2023,33289,33289.5,2585,8,3,3.333,3.333,4,3.667,1.667,1,1.333,15,18,18,27,22,6,4,5,14,104,160.9,157.4,2
22-02-2023,33290,33290.5,2585,9,1.333,0.333,1.333,1.667,2,2,2,2.333,5,2,5,6,7,7,7,9,6,86,151.9,148.6,2
23-02-2023,33291,33291.5,2585,10,4.333,3.667,3,2.667,2.667,4,3.333,3.667,32,22,15,12,12,27,18,22,20,90,148.2,145.1,2
24-02-2023,33292,33292.5,2585,11,2.333,1,2,1.333,1.667,0.667,0,0.333,9,4,7,5,6,3,0,2,4,117,164.1,160.7,2
25-02-2023,33293,33293.5,2585,12,0.667,0.333,1.667,2,2,3.333,3,3.333,3,2,6,7,7,18,15,18,10,127,279.3,273.7,2
26-02-2023,33294,33294.5,2585,13,3.333,2.333,3,3.333,3,1.667,5,5.667,18,9,15,18,15,6,48,67,24,119,159,155.9,2
27-02-2023,33295,33295.5,2585,14,5,6,6.667,6.667,6.333,6.667,6.333,6,48,80,111,111,94,111,94,80,91,126,161.2,158.1,2
