datetime,Kp,status
01-01-2023 00:00,2.333,def
01-01-2023 03:00,3,def
01-01-2023 06:00,2,def
01-01-2023 09:00,2.667,def
01-01-2023 12:00,1.667,def
01-01-2023 15:00,2.667,def
01-01-2023 18:00,3.667,def
01-01-2023 21:00,4,def
02-01-2023 00:00,2,def
02-01-2023 03:00,2,def
02-01-2023 06:00,1,def
02-01-2023 09:00,1.667,def
02-01-2023 12:00,1.333,def
02-01-2023 15:00,1.333,def
02-01-2023 18:00,2,def
02-01-2023 21:00,3,def
03-01-2023 00:00,1.333,def
03-01-2023 03:00,0.333,def
03-01-2023 06:00,0.667,def
03-01-2023 09:00,0.333,def
03-01-2023 12:00,1,def
03-01-2023 15:00,2,def
03-01-2023 18:00,2.333,def
03-01-2023 21:00,2.667,def
04-01-2023 00:00,4,def
04-01-2023 03:00,4.667,def
04-01-2023 06:00,4.333,def
04-01-2023 09:00,3.333,def
04-01-2023 12:00,3.333,def
04-01-2023 15:00,2,def
04-01-2023 18:00,1.667,def
04-01-2023 21:00,0.667,def
05-01-2023 00:00,0.333,def
05-01-2023 03:00,0.667,def
05-01-2023 06:00,1,def
05-01-2023 09:00,1.333,def
05-01-2023 12:00,2.667,def
05-01-2023 15:00,3,def
05-01-2023 18:00,2.667,def
05-01-2023 21:00,2.667,def
06-01-2023 00:00,1,def
06-01-2023 03:00,0.333,def
06-01-2023 06:00,0.333,def
06-01-2023 09:00,0.667,def
06-01-2023 12:00,1,def
06-01-2023 15:00,0.333,def
06-01-2023 18:00,1.333,def
06-01-2023 21:00,1.333,def
07-01-2023 00:00,1,def
07-01-2023 03:00,2.333,def
07-01-2023 06:00,1,def
07-01-2023 09:00,0.333,def
07-01-2023 12:00,0.333,def
07-01-2023 15:00,2.667,def
07-01-2023 18:00,2.333,def
07-01-2023 21:00,0.333,def
08-01-2023 00:00,2,def
08-01-2023 03:00,2.333,def
08-01-2023 06:00,2,def
08-01-2023 09:00,1.667,def
08-01-2023 12:00,3,def
08-01-2023 15:00,1.333,def
08-01-2023 18:00,1,def
08-01-2023 21:00,0.667,def
09-01-2023 00:00,1.667,def
09-01-2023 03:00,0.333,def
09-01-2023 06:00,0.333,def
09-01-2023 09:00,1,def
09-01-2023 12:00,0.667,def
09-01-2023 15:00,1.667,def
09-01-2023 18:00,2,def
09-01-2023 21:00,1.333,def
10-01-2023 00:00,0.667,def
10-01-2023 03:00,0.667,def
10-01-2023 06:00,0.667,def
10-01-2023 09:00,0.667,def
10-01-2023 12:00,2,def
10-01-2023 15:00,3,def
10-01-2023 18:00,1.667,def
10-01-2023 21:00,2,def
11-01-2023 00:00,1.667,def
11-01-2023 03:00,2.667,def
11-01-2023 06:00,1.667,def
11-01-2023 09:00,1.667,def
11-01-2023 12:00,1,def
11-01-2023 15:00,2,def
11-01-2023 18:00,2.333,def
11-01-2023 21:00,2.333,def
12-01-2023 00:00,3,def
12-01-2023 03:00,2,def
12-01-2023 06:00,2,def
12-01-2023 09:00,1.667,def
12-01-2023 12:00,2,def
12-01-2023 15:00,2,def
12-01-2023 18:00,1.667,def
12-01-2023 21:00,3,def
13-01-2023 00:00,2.333,def
13-01-2023 03:00,1.667,def
13-01-2023 06:00,2,def
13-01-2023 09:00,2.333,def
13-01-2023 12:00,2.333,def
13-01-2023 15:00,1.667,def
13-01-2023 18:00,3.333,def
13-01-2023 21:00,4,def
14-01-2023 00:00,3,def
14-01-2023 03:00,3.333,def
14-01-2023 06:00,2.333,def
14-01-2023 09:00,1.667,def
14-01-2023 12:00,0.667,def
14-01-2023 15:00,1,def
14-01-2023 18:00,1.667,def
14-01-2023 21:00,2.667,def
15-01-2023 00:00,4.667,def
15-01-2023 03:00,3.667,def
15-01-2023 06:00,3.667,def
15-01-2023 09:00,3.667,def
15-01-2023 12:00,3.667,def
15-01-2023 15:00,3.667,def
15-01-2023 18:00,4,def
15-01-2023 21:00,5,def
16-01-2023 00:00,4,def
16-01-2023 03:00,1.667,def
16-01-2023 06:00,3,def
16-01-2023 09:00,3,def
16-01-2023 12:00,3.333,def
16-01-2023 15:00,3.333,def
16-01-2023 18:00,1.667,def
16-01-2023 21:00,0.667,def
17-01-2023 00:00,0,def
17-01-2023 03:00,1.667,def
17-01-2023 06:00,1.667,def
17-01-2023 09:00,1,def
17-01-2023 12:00,1,def
17-01-2023 15:00,0.333,def
17-01-2023 18:00,0,def
17-01-2023 21:00,3.333,def
18-01-2023 00:00,4,def
18-01-2023 03:00,4,def
18-01-2023 06:00,3.333,def
18-01-2023 09:00,2.667,def
18-01-2023 12:00,2.667,def
18-01-2023 15:00,2.333,def
18-01-2023 18:00,1.667,def
18-01-2023 21:00,0.667,def
19-01-2023 00:00,0,def
19-01-2023 03:00,1,def
19-01-2023 06:00,2.667,def
19-01-2023 09:00,2.667,def
19-01-2023 12:00,2.333,def
19-01-2023 15:00,0.333,def
19-01-2023 18:00,0.667,def
19-01-2023 21:00,1.333,def
20-01-2023 00:00,1,def
20-01-2023 03:00,1,def
20-01-2023 06:00,0,def
20-01-2023 09:00,1.333,def
20-01-2023 12:00,1.667,def
20-01-2023 15:00,2.667,def
20-01-2023 18:00,1.333,def
20-01-2023 21:00,1.333,def
21-01-2023 00:00,2.333,def
21-01-2023 03:00,4,def
21-01-2023 06:00,4,def
21-01-2023 09:00,1.667,def
21-01-2023 12:00,2.333,def
21-01-2023 15:00,3,def
21-01-2023 18:00,3.333,def
21-01-2023 21:00,2.667,def
22-01-2023 00:00,2,def
22-01-2023 03:00,1.333,def
22-01-2023 06:00,2.333,def
22-01-2023 09:00,2,def
22-01-2023 12:00,2,def
22-01-2023 15:00,2.333,def
22-01-2023 18:00,3.333,def
22-01-2023 21:00,1.667,def
23-01-2023 00:00,0.333,def
23-01-2023 03:00,1.667,def
23-01-2023 06:00,1,def
23-01-2023 09:00,0.667,def
23-01-2023 12:00,3,def
23-01-2023 15:00,2,def
23-01-2023 18:00,1.333,def
23-01-2023 21:00,2.333,def
24-01-2023 00:00,1,def
24-01-2023 03:00,0.333,def
24-01-2023 06:00,0.667,def
24-01-2023 09:00,1.333,def
24-01-2023 12:00,1.333,def
24-01-2023 15:00,1,def
24-01-2023 18:00,0.667,def
24-01-2023 21:00,0.333,def
25-01-2023 00:00,0,def
25-01-2023 03:00,0,def
25-01-2023 06:00,0.333,def
25-01-2023 09:00,2,def
25-01-2023 12:00,3,def
25-01-2023 15:00,2.333,def
25-01-2023 18:00,1.667,def
25-01-2023 21:00,1.333,def
26-01-2023 00:00,1,def
26-01-2023 03:00,2.667,def
26-01-2023 06:00,2.667,def
26-01-2023 09:00,2.333,def
26-01-2023 12:00,2.667,def
26-01-2023 15:00,2.667,def
26-01-2023 18:00,2.667,def
26-01-2023 21:00,1,def
27-01-2023 00:00,0.667,def
27-01-2023 03:00,0.333,def
27-01-2023 06:00,1.667,def
27-01-2023 09:00,2.333,def
27-01-2023 12:00,2.667,def
27-01-2023 15:00,3.333,def
27-01-2023 18:00,1.667,def
27-01-2023 21:00,2.333,def
28-01-2023 00:00,3,def
28-01-2023 03:00,2.667,def
28-01-2023 06:00,2,def
28-01-2023 09:00,1,def
28-01-2023 12:00,2.667,def
28-01-2023 15:00,2.333,def
28-01-2023 18:00,2.667,def
28-01-2023 21:00,1.333,def
29-01-2023 00:00,0,def
29-01-2023 03:00,0.333,def
29-01-2023 06:00,2,def
29-01-2023 09:00,1,def
29-01-2023 12:00,1,def
29-01-2023 15:00,2,def
29-01-2023 18:00,0.667,def
29-01-2023 21:00,1.667,def
30-01-2023 00:00,1,def
30-01-2023 03:00,0.333,def
30-01-2023 06:00,0.667,def
30-01-2023 09:00,1,def
30-01-2023 12:00,0.667,def
30-01-2023 15:00,0.667,def
30-01-2023 18:00,1,def
30-01-2023 21:00,2.667,def
31-01-2023 00:00,0,def
31-01-2023 03:00,2,def
31-01-2023 06:00,2.667,def
31-01-2023 09:00,2,def
31-01-2023 12:00,1,def
31-01-2023 15:00,3.333,def
31-01-2023 18:00,2.333,def
31-01-2023 21:00,1.667,def
01-02-2023 00:00,1,def
01-02-2023 03:00,0.667,def
01-02-2023 06:00,0.333,def
01-02-2023 09:00,0.333,def
01-02-2023 12:00,1,def
01-02-2023 15:00,1.333,def
01-02-2023 18:00,2.667,def
01-02-2023 21:00,2.333,def
02-02-2023 00:00,3.333,def
02-02-2023 03:00,1.667,def
02-02-2023 06:00,0.333,def
02-02-2023 09:00,0.667,def
02-02-2023 12:00,0.333,def
02-02-2023 15:00,0,def
02-02-2023 18:00,0.333,def
02-02-2023 21:00,0.667,def
03-02-2023 00:00,2,def
03-02-2023 03:00,1.667,def
03-02-2023 06:00,0.333,def
03-02-2023 09:00,0.333,def
03-02-2023 12:00,1.667,def
03-02-2023 15:00,3,def
03-02-2023 18:00,2.667,def
03-02-2023 21:00,1.667,def
04-02-2023 00:00,2.667,def
04-02-2023 03:00,2.667,def
04-02-2023 06:00,0.667,def
04-02-2023 09:00,0.333,def
04-02-2023 12:00,1,def
04-02-2023 15:00,0.667,def
04-02-2023 18:00,0,def
04-02-2023 21:00,1,def
05-02-2023 00:00,0.333,def
05-02-2023 03:00,2,def
05-02-2023 06:00,0.333,def
05-02-2023 09:00,1,def
05-02-2023 12:00,1,def
05-02-2023 15:00,1.333,def
05-02-2023 18:00,1.667,def
05-02-2023 21:00,1.333,def
06-02-2023 00:00,3,def
06-02-2023 03:00,3.333,def
06-02-2023 06:00,2.667,def
06-02-2023 09:00,3.333,def
06-02-2023 12:00,2.667,def
06-02-2023 15:00,2.333,def
06-02-2023 18:00,3.667,def
06-02-2023 21:00,3.667,def
07-02-2023 00:00,4,def
07-02-2023 03:00,4,def
07-02-2023 06:00,3.333,def
07-02-2023 09:00,3.667,def
07-02-2023 12:00,3,def
07-02-2023 15:00,3,def
07-02-2023 18:00,2.667,def
07-02-2023 21:00,2.667,def
08-02-2023 00:00,3,def
08-02-2023 03:00,3.333,def
08-02-2023 06:00,3,def
08-02-2023 09:00,4,def
08-02-2023 12:00,3.333,def
08-02-2023 15:00,2.667,def
08-02-2023 18:00,3.333,def
08-02-2023 21:00,3,def
09-02-2023 00:00,3,def
09-02-2023 03:00,4,def
09-02-2023 06:00,2.667,def
09-02-2023 09:00,3,def
09-02-2023 12:00,2.333,def
09-02-2023 15:00,3.333,def
09-02-2023 18:00,3.333,def
09-02-2023 21:00,4.333,def
10-02-2023 00:00,4,def
10-02-2023 03:00,2.667,def
10-02-2023 06:00,2.333,def
10-02-2023 09:00,2.667,def
10-02-2023 12:00,3,def
10-02-2023 15:00,2,def
10-02-2023 18:00,3.333,def
10-02-2023 21:00,3.667,def
11-02-2023 00:00,3.333,def
11-02-2023 03:00,3,def
11-02-2023 06:00,2,def
11-02-2023 09:00,2.333,def
11-02-2023 12:00,2.333,def
11-02-2023 15:00,1,def
11-02-2023 18:00,1,def
11-02-2023 21:00,0.333,def
12-02-2023 00:00,1.667,def
