Timestamp,Bt-med,Bt-min,Bt-max,Bx-max,By-min,Bz-med,Bz-min,Theta-med,Theta-min,Dens-med,Dens-max,Speed-max,Kp
1680307200.0,5.49,1.95,7.08,4.79,-5.46,3.39,-4.92,40.6,-61.05,9.13,12.9,538.6,2.0
1680328800.0,5.18,3.81,6.55,5.43,-5.54,0.96,-5.1,11.31,-71.38,9.83,12.7,559.2,1.667
1680350400.0,5.51,4.41,6.71,5.48,-5.51,-0.96,-5.53,-10.74,-69.76,10.37,12.37,561.0,3.333
1680372000.0,6.07,5.22,7.14,6.14,-5.56,-1.37,-5.88,-13.57,-82.23,10.18,13.79,585.5,2.667
1680393600.0,6.09,4.96,6.77,5.12,-6.69,-2.18,-5.05,-21.07,-61.84,11.93,13.35,568.3,3.667
1680415200.0,5.69,5.18,6.45,5.55,-5.83,1.3,-5.6,13.62,-67.05,9.49,14.3,572.4,2.667
1680436800.0,5.43,5.19,5.71,5.61,-2.76,0.75,-1.81,8.03,-19.94,9.45,10.6,532.1,2.333
1680458400.0,5.47,5.17,5.98,5.74,-4.55,-1.83,-4.79,-19.22,-60.95,7.37,10.26,588.8,2.0
1680480000.0,5.55,5.22,6.27,5.61,-5.76,-1.13,-3.26,-11.45,-36.1,7.13,9.16,510.5,3.333
1680501600.0,6.06,3.94,6.72,5.08,-6.71,-1.29,-3.64,-12.37,-42.12,7.9,9.71,516.4,1.333
1680523200.0,5.6,2.86,6.23,5.62,-6.02,-2.08,-4.74,-24.17,-65.01,9.86,11.18,537.8,2.667
1680544800.0,5.58,4.93,6.6,5.58,-5.52,-2.18,-5.68,-22.61,-79.85,9.59,10.77,531.4,3.667
1680566400.0,5.71,4.0,6.68,5.57,-6.24,-0.24,-5.98,-2.74,-65.54,10.0,12.51,541.1,3.667
1680588000.0,5.07,3.78,5.97,5.31,-5.01,-0.39,-4.25,-4.8,-60.35,10.74,11.9,539.7,2.333
1680609600.0,4.76,3.42,5.65,4.77,-5.05,0.33,-3.54,4.3,-50.98,10.31,11.08,530.4,2.0
1680631200.0,5.13,3.02,5.79,4.81,-5.19,-2.29,-4.43,-26.48,-60.63,10.11,11.71,529.7,2.667
1680652800.0,4.4,3.7,6.29,4.07,-5.84,-1.2,-3.61,-15.77,-54.46,9.55,11.07,527.7,3.0
1680674400.0,4.0,2.81,5.07,4.05,-4.02,-1.45,-4.36,-24.41,-72.06,9.99,11.47,523.1,1.667
1680696000.0,3.83,2.04,4.39,2.38,-4.04,-2.08,-3.43,-33.74,-72.74,6.05,10.07,479.5,3.0
1680717600.0,3.92,2.96,4.68,4.06,-3.78,-1.38,-3.44,-21.53,-57.83,4.41,6.03,443.8,2.667
1680739200.0,4.62,4.14,5.46,4.04,-5.28,1.7,-3.42,21.77,-47.98,5.64,6.95,414.8,1.333
1680760800.0,4.86,4.36,5.66,5.16,-4.39,-2.14,-4.27,-26.41,-64.76,4.2,5.69,398.7,1.0
1680782400.0,5.43,4.4,5.84,4.97,-4.5,-2.81,-4.56,-32.21,-57.61,3.32,4.89,401.2,2.0
1680804000.0,5.92,4.99,6.38,5.27,-4.53,-0.77,-5.79,-7.46,-83.51,4.04,5.21,419.7,3.0
1680825600.0,5.52,4.86,6.33,5.46,-4.66,-3.42,-5.6,-37.92,-71.0,3.75,5.76,425.7,3.0
1680847200.0,5.07,4.7,5.38,4.95,-4.64,-0.48,-4.62,-5.44,-66.34,3.01,4.77,424.8,1.667
