time,measurement_mode_x,measurement_range_x,bt_x,bx_gse_x,by_gse_x,bz_gse_x,theta_gse_x,phi_gse_x,bx_gsm_x,by_gsm_x,bz_gsm_x,theta_gsm_x,phi_gsm_x,backfill_flag_x,future_packet_time_flag_x,old_packet_time_flag_x,fill_flag_x,possible_saturation_flag_x,calibration_mode_flag_x,maneuver_flag_x,low_sample_count_flag_x,proton_vx_gse,proton_vy_gse,proton_vz_gse,proton_vx_gsm,proton_vy_gsm,proton_vz_gsm,proton_speed,proton_density,proton_temperature,alpha_vx_gse,alpha_vy_gse,alpha_vz_gse,alpha_vx_gsm,alpha_vy_gsm,alpha_vz_gsm,alpha_speed,alpha_density,alpha_temperature,backfill_flag,future_packet_time_flag,old_packet_time_flag,fill_flag,normal_mode_flag,proton_peak_unresolved_flag,proton_alpha_confusion_flag,proton_out_of_range_high_flag,proton_out_of_range_low_flag,proton_out_of_range_unknown_flag,proton_peak_unbounded_flag,alpha_peak_unresolved_flag,alpha_proton_confusion_flag,alpha_out_of_range_high_flag,alpha_out_of_range_unknown_flag,alpha_peak_unbounded_flag,alpha_position_low_flag,alpha_position_high_flag,alpha_peak_height_flag,possible_second_proton_peak_flag,large_flow_angle_flag,unexpected_peak_location_right_flag,unexpected_peak_location_left_flag,proton_peak_loss_flag,calibration_mode_flag,maneuver_flag,reduced_proton_quality_flag,alpha_peak_loss_flag,reduced_alpha_quality_flag,bad_proton_speed_flag,bad_proton_density_flag,bad_proton_temperature_flag,bad_proton_vx_gse_flag,bad_proton_vy_gse_flag,bad_proton_vz_gse_flag,bad_proton_vx_gsm_flag,bad_proton_proton_vy_gsm_flag,bad_vz_gsm_flag,bad_alpha_speed_flag,bad_alpha_density_flag,bad_alpha_temperature_flag,bad_alpha_vx_gse_flag,bad_alpha_vy_gse_flag,bad_alpha_vz_gse_flag,bad_alpha_vx_gsm_flag,bad_alpha_vy_gsm_flag,bad_alpha_vz_gsm_flag
1695427257800,0,1,5.08198,4.64511,1.89036,-0.8222,-9.31064,22.14417,4.64511,1.62053,-1.27411,-14.51961,19.23219,0,0,0,0,0,0,0,0,-405,17.7,31.3,-405,25,25.8,406.6,4.18,40392,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1695427899340,0,1,4.92198,2.82697,3.96324,-0.72583,-8.48014,54.49983,2.82697,3.64591,-1.71505,-20.39242,52.21071,0,0,0,0,0,0,0,0,-402.6,-10.7,70.7,-402.6,7.8,71.1,408.9,3.55,88046,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1695428420860,0,1,4.89607,3.38624,3.31356,-1.23498,-14.61003,44.37842,3.38624,2.88294,-2.04779,-24.72434,40.41006,0,0,0,0,0,0,0,0,-402.6,9.9,50.3,-402.6,22.5,46,405.8,4.32,48386,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1695428507840,0,1,5.11261,3.4664,3.51048,-1.34141,-15.21092,45.36197,3.4664,3.04486,-2.20265,-25.52001,41.29585,0,0,0,0,0,0,0,0,-403.4,12.9,53.8,-403.4,26.4,48.6,407.1,4.29,49787,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1695428594820,0,1,5.04139,3.45921,3.5384,-0.96393,-11.023,45.64832,3.45921,3.16858,-1.84648,-21.48545,42.48916,0,0,0,0,0,0,0,0,-402,13.1,43.5,-402,23.9,38.6,404.6,4.52,46798,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1695428681800,0,1,5.06556,3.55407,3.49161,-0.91496,-10.40606,44.49205,3.55407,3.13531,-1.78838,-20.67378,41.4179,0,0,0,0,0,0,0,0,-402.8,11.7,43.4,-402.8,22.5,38.9,405.3,4.63,45920,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1695429168880,0,1,5.03984,3.79662,3.16374,-0.98811,-11.30669,39.80463,3.79662,2.79536,-1.7809,-20.69329,36.3633,0,0,0,0,0,0,0,0,-403.2,9.6,50.2,-403.2,22.4,46,406.4,4.45,48761,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1695429342840,0,1,5.07704,3.62024,2.6648,-2.35988,-27.69819,36.35614,3.62024,1.9524,-2.97629,-35.88964,28.33801,0,0,0,0,0,0,0,0,-402.8,7.7,53.8,-402.8,21.6,49.8,406.4,4.33,50194,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1695429429820,0,1,5.22203,4.18312,2.69519,-1.58336,-17.65038,32.79369,4.18312,2.18439,-2.23596,-25.35199,27.57316,0,0,0,0,0,0,0,0,-404.5,13.6,52.3,-404.5,26.8,46.9,408.1,4.3,47829,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1695429516800,0,1,5.23836,4.19309,2.66718,-1.65667,-18.43678,32.45997,4.19309,2.13701,-2.30034,-26.04864,27.00572,0,0,0,0,0,0,0,0,-404,14.7,46.5,-404,26.5,40.9,407,4.62,45010,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
