,YYYY,MM,DD,Date,days,days_m,Bsr,dB,Kp1,Kp2,Kp3,Kp4,Kp5,Kp6,Kp7,Kp8,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,Ap,SN,F10.7obs,F10.7adj,D
33238,2023,1,1,2023-1-1,33238,33238.5,2583,11,2.333,3.0,2.0,2.667,1.667,2.667,3.667,4.0,9,15,7,12,6,12,22,27,14,108,152.6,147.5,2
33239,2023,1,2,2023-1-2,33239,33239.5,2583,12,2.0,2.0,1.0,1.667,1.333,1.333,2.0,3.0,7,7,4,6,5,5,7,15,7,109,146.4,141.5,2
33240,2023,1,3,2023-1-3,33240,33240.5,2583,13,1.333,0.333,0.667,0.333,1.0,2.0,2.333,2.667,5,2,3,2,4,7,9,12,6,108,148.5,143.6,2
33241,2023,1,4,2023-1-4,33241,33241.5,2583,14,4.0,4.667,4.333,3.333,3.333,2.0,1.667,0.667,27,39,32,18,18,7,6,3,19,96,151.0,146.0,2
33242,2023,1,5,2023-1-5,33242,33242.5,2583,15,0.333,0.667,1.0,1.333,2.667,3.0,2.667,2.667,2,3,4,5,12,15,12,12,8,112,154.3,149.2,2
33243,2023,1,6,2023-1-6,33243,33243.5,2583,16,1.0,0.333,0.333,0.667,1.0,0.333,1.333,1.333,4,2,2,3,4,2,5,5,3,131,172.4,166.7,2
33244,2023,1,7,2023-1-7,33244,33244.5,2583,17,1.0,2.333,1.0,0.333,0.333,2.667,2.333,0.333,4,9,4,2,2,12,9,2,6,133,178.9,173.0,2
33245,2023,1,8,2023-1-8,33245,33245.5,2583,18,2.0,2.333,2.0,1.667,3.0,1.333,1.0,0.667,7,9,7,6,15,5,4,3,7,135,183.8,177.8,2
33246,2023,1,9,2023-1-9,33246,33246.5,2583,19,1.667,0.333,0.333,1.0,0.667,1.667,2.0,1.333,6,2,2,4,3,6,7,5,4,148,190.9,184.7,2
33247,2023,1,10,2023-1-10,33247,33247.5,2583,20,0.667,0.667,0.667,0.667,2.0,3.0,1.667,2.0,3,3,3,3,7,15,6,7,6,179,193.0,186.6,2
33248,2023,1,11,2023-1-11,33248,33248.5,2583,21,1.667,2.667,1.667,1.667,1.0,2.0,2.333,2.333,6,12,6,6,4,7,9,9,7,168,195.1,188.7,2
33249,2023,1,12,2023-1-12,33249,33249.5,2583,22,3.0,2.0,2.0,1.667,2.0,2.0,1.667,3.0,15,7,7,6,7,7,6,15,9,171,211.6,204.7,2
33250,2023,1,13,2023-1-13,33250,33250.5,2583,23,2.333,1.667,2.0,2.333,2.333,1.667,3.333,4.0,9,6,7,9,9,6,18,27,11,178,208.5,201.7,2
33251,2023,1,14,2023-1-14,33251,33251.5,2583,24,3.0,3.333,2.333,1.667,0.667,1.0,1.667,2.667,15,18,9,6,3,4,6,12,9,189,227.8,220.4,2
33252,2023,1,15,2023-1-15,33252,33252.5,2583,25,4.667,3.667,3.667,3.667,3.667,3.667,4.0,5.0,39,22,22,22,22,22,27,48,28,199,234.3,226.7,2
33253,2023,1,16,2023-1-16,33253,33253.5,2583,26,4.0,1.667,3.0,3.0,3.333,3.333,1.667,0.667,27,6,15,15,18,18,6,3,14,190,228.1,220.7,2
33254,2023,1,17,2023-1-17,33254,33254.5,2583,27,0.0,1.667,1.667,1.0,1.0,0.333,0.0,3.333,0,6,6,4,4,2,0,18,5,188,221.7,214.6,2
33255,2023,1,18,2023-1-18,33255,33255.5,2584,1,4.0,4.0,3.333,2.667,2.667,2.333,1.667,0.667,27,27,18,12,12,9,6,3,14,195,220.3,213.2,2
33256,2023,1,19,2023-1-19,33256,33256.5,2584,2,0.0,1.0,2.667,2.667,2.333,0.333,0.667,1.333,0,4,12,12,9,2,3,5,6,205,226.1,218.9,2
33257,2023,1,20,2023-1-20,33257,33257.5,2584,3,1.0,1.0,0.0,1.333,1.667,2.667,1.333,1.333,4,4,0,5,6,12,5,5,5,206,217.5,210.6,2
33258,2023,1,21,2023-1-21,33258,33258.5,2584,4,2.333,4.0,4.0,1.667,2.333,3.0,3.333,2.667,9,27,27,6,9,15,18,12,15,195,208.7,202.1,2
33259,2023,1,22,2023-1-22,33259,33259.5,2584,5,2.0,1.333,2.333,2.0,2.0,2.333,3.333,1.667,7,5,9,7,7,9,18,6,8,166,198.6,192.3,2
33260,2023,1,23,2023-1-23,33260,33260.5,2584,6,0.333,1.667,1.0,0.667,3.0,2.0,1.333,2.333,2,6,4,3,15,7,5,9,6,162,189.1,183.2,2
33261,2023,1,24,2023-1-24,33261,33261.5,2584,7,1.0,0.333,0.667,1.333,1.333,1.0,0.667,0.333,4,2,3,5,5,4,3,2,4,151,180.2,174.6,2
33262,2023,1,25,2023-1-25,33262,33262.5,2584,8,0.0,0.0,0.333,2.0,3.0,2.333,1.667,1.333,0,0,2,7,15,9,6,5,6,137,171.8,166.5,2
33263,2023,1,26,2023-1-26,33263,33263.5,2584,9,1.0,2.667,2.667,2.333,2.667,2.667,2.667,1.0,4,12,12,9,12,12,12,4,10,110,150.6,146.0,2
33264,2023,1,27,2023-1-27,33264,33264.5,2584,10,0.667,0.333,1.667,2.333,2.667,3.333,1.667,2.333,3,2,6,9,12,18,6,9,8,86,144.9,140.5,2
33265,2023,1,28,2023-1-28,33265,33265.5,2584,11,3.0,2.667,2.0,1.0,2.667,2.333,2.667,1.333,15,12,7,4,12,9,12,5,10,85,137.6,133.4,2
33266,2023,1,29,2023-1-29,33266,33266.5,2584,12,0.0,0.333,2.0,1.0,1.0,2.0,0.667,1.667,0,2,7,4,4,7,3,6,4,79,137.0,132.9,2
33267,2023,1,30,2023-1-30,33267,33267.5,2584,13,1.0,0.333,0.667,1.0,0.667,0.667,1.0,2.667,4,2,3,4,3,3,4,12,4,76,135.9,131.9,2
33268,2023,1,31,2023-1-31,33268,33268.5,2584,14,0.0,2.0,2.667,2.0,1.0,3.333,2.333,1.667,0,7,12,7,4,18,9,6,8,80,137.0,132.9,2
33269,2023,2,1,2023-2-1,33269,33269.5,2584,15,1.0,0.667,0.333,0.333,1.0,1.333,2.667,2.333,4,3,2,2,4,5,12,9,5,72,133.5,129.6,2
33270,2023,2,2,2023-2-2,33270,33270.5,2584,16,3.333,1.667,0.333,0.667,0.333,0.0,0.333,0.667,18,6,2,3,2,0,2,3,4,58,134.9,131.0,2
33271,2023,2,3,2023-2-3,33271,33271.5,2584,17,2.0,1.667,0.333,0.333,1.667,3.0,2.667,1.667,7,6,2,2,6,15,12,6,7,64,134.5,130.7,2
33272,2023,2,4,2023-2-4,33272,33272.5,2584,18,2.667,2.667,0.667,0.333,1.0,0.667,0.0,1.0,12,12,3,2,4,3,0,4,5,71,139.0,135.1,2
33273,2023,2,5,2023-2-5,33273,33273.5,2584,19,0.333,2.0,0.333,1.0,1.0,1.333,1.667,1.333,2,7,2,4,4,5,6,5,4,74,144.0,140.0,2
