Timestamp,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max,Kp
01-04-2023 00:00,1,5.49,1.95,7.08,1.88,-2.61,4.79,-0.38,-5.46,4.84,3.39,-4.92,5.78,350.69,4.3,355.73,40.6,-61.05,76.47,9.13,7.21,12.9,496.6,476.8,538.6,277450,220417,496232,2
01-04-2023 06:00,1,5.18,3.81,6.55,3.01,-2.36,5.43,-0.48,-5.54,3.92,0.96,-5.1,5.01,348.89,2.07,357.04,11.31,-71.38,77.29,9.83,4.55,12.7,525.5,497.6,559.2,359166,213745,498177,1.667
01-04-2023 12:00,1,5.51,4.41,6.71,2.39,-2.53,5.48,-3.28,-5.51,1.58,-0.96,-5.53,4.81,304.92,8.92,353.34,-10.74,-69.76,60.23,10.37,3.8,12.37,529.9,508.5,561,362974,170655,514366,3.333
01-04-2023 18:00,1,6.07,5.22,7.14,3.41,-3.38,6.14,-2.35,-5.56,5.88,-1.37,-5.88,4.33,338.04,4.45,357.4,-13.57,-82.23,47.02,10.18,0.14,13.79,543,502.9,585.5,380713,5000,729200,2.667
02-04-2023 00:00,1,6.09,4.96,6.77,2.09,-1.06,5.12,-4.66,-6.69,4.42,-2.18,-5.05,2.12,297.8,41.11,333.64,-21.07,-61.84,20.6,11.93,0.27,13.35,546.1,512,568.3,500444,7716,576865,3.667
02-04-2023 06:00,1,5.69,5.18,6.45,3.86,-1.18,5.55,-2.46,-5.83,2.33,1.3,-5.6,5.79,321.96,1.46,357.35,13.62,-67.05,74.8,9.49,0.26,14.3,536.1,511.3,572.4,364951,7417,698736,2.667
02-04-2023 12:00,1,5.43,5.19,5.71,5.14,4.15,5.61,-1.02,-2.76,1.68,0.75,-1.81,2.8,350.74,0.86,359.59,8.03,-19.94,31.45,9.45,6.86,10.6,525,517,532.1,369460,255505,470703,2.333
02-04-2023 18:00,1,5.47,5.17,5.98,4.45,-4.6,5.74,-2.07,-4.55,1.26,-1.83,-4.79,1.99,333.25,0.88,358.14,-19.22,-60.95,19.92,7.37,0.8,10.26,518.4,490.2,588.8,313077,18053,436037,2
03-04-2023 00:00,1,5.55,5.22,6.27,4.52,1.72,5.61,-2.77,-5.76,-0.33,-1.13,-3.26,1.72,327.6,284.74,354.62,-11.45,-36.1,17.15,7.13,5.39,9.16,495.1,468.5,510.5,255703,186793,370871,3.333
03-04-2023 06:00,1,6.06,3.94,6.72,3.58,-0.99,5.08,-4.24,-6.71,0.17,-1.29,-3.64,2.53,308.45,6.17,345.12,-12.37,-42.12,28.17,7.9,7.02,9.71,490.9,484.4,516.4,247570,202465,348240,1.333
03-04-2023 12:00,1,5.6,2.86,6.23,1.83,-1.18,5.62,-3.79,-6.02,3.86,-2.08,-4.74,2.29,308.35,3.3,356.13,-24.17,-65.01,23.78,9.86,8.43,11.18,520.2,486.6,537.8,331913,212499,421165,2.667
03-04-2023 18:00,1,5.58,4.93,6.6,2.88,-0.47,5.58,-2.21,-5.52,5.41,-2.18,-5.68,3.62,333.94,2.13,357.52,-22.61,-79.85,36.02,9.59,8.49,10.77,507,484.2,531.4,296249,218806,359148,3.667
04-04-2023 00:00,1,5.71,4,6.68,2.96,-3.44,5.57,-0.79,-6.24,5.16,-0.24,-5.98,5.72,342.61,1.61,357.05,-2.74,-65.54,81.09,10,7.12,12.51,501.7,485.4,541.1,290855,220558,456835,3.667
04-04-2023 06:00,1,5.07,3.78,5.97,2.98,-2.77,5.31,-1.46,-5.01,5.27,-0.39,-4.25,4.58,340.45,1.52,356.75,-4.8,-60.35,66.47,10.74,9.71,11.9,508.2,491.1,539.7,301403,233098,375571,2.333
04-04-2023 12:00,1,4.76,3.42,5.65,3.12,-1.55,4.77,-2.17,-5.05,3.67,0.33,-3.54,4.34,328.1,3.56,358.4,4.3,-50.98,80.54,10.31,9.37,11.08,495.8,488.5,530.4,294143,252246,353459,2
04-04-2023 18:00,1,5.13,3.02,5.79,1.27,-4.28,4.81,-3.35,-5.19,3.45,-2.29,-4.43,1.48,295.74,11.22,353.73,-26.48,-60.63,27.55,10.11,8.93,11.71,495.6,482.4,529.7,318345,224307,427812,2.667
05-04-2023 00:00,1,4.4,3.7,6.29,1.04,-4.46,4.07,-2.97,-5.84,3.41,-1.2,-3.61,2.78,292.31,1.9,356.78,-15.77,-54.46,36.09,9.55,7.76,11.07,498.5,481.9,527.7,324429,249367,411670,3
05-04-2023 06:00,1,4,2.81,5.07,2.25,-3.62,4.05,-1.6,-4.02,2.44,-1.45,-4.36,2.24,318.53,1.38,354.45,-24.41,-72.06,38.02,9.99,5.43,11.47,487.5,459.4,523.1,437016,136242,532125,1.667
05-04-2023 12:00,1,3.83,2.04,4.39,-0.71,-3.37,2.38,-2.53,-4.04,1.01,-2.08,-3.43,2.67,251.9,159.24,322.29,-33.74,-72.74,42.9,6.05,4.38,10.07,458.7,427.1,479.5,135384,74613,344618,3
05-04-2023 18:00,1,3.92,2.96,4.68,1.87,-3.43,4.06,-2.19,-3.78,1.12,-1.38,-3.44,0.86,296.85,137.16,357.48,-21.53,-57.83,12.8,4.41,2.22,6.03,410.7,384.4,443.8,74481,40682,111064,2.667
06-04-2023 00:00,1,4.62,4.14,5.46,0.14,-2.77,4.04,-3.29,-5.28,1.28,1.7,-3.42,4.81,266.79,84.53,344.97,21.77,-47.98,69.55,5.64,2.64,6.95,397.8,383,414.8,52480,38293,89969,1.333
06-04-2023 06:00,1,4.86,4.36,5.66,3.03,1.3,5.16,-2.4,-4.39,0.83,-2.14,-4.27,3.45,325.77,2.09,358.12,-26.41,-64.76,37.98,4.2,1.31,5.69,386.2,380.3,398.7,57612,24503,114581,1
06-04-2023 12:00,1,5.43,4.4,5.84,3.7,-0.92,4.97,-2.1,-4.5,1.49,-2.81,-4.56,5.02,329.7,0.63,357.49,-32.21,-57.61,67.39,3.32,2.03,4.89,389.3,378.5,401.2,66686,44802,106156,2
06-04-2023 18:00,1,5.92,4.99,6.38,3.63,-2.85,5.27,-2.9,-4.53,3.22,-0.77,-5.79,4.94,313.64,1.45,356.27,-7.46,-83.51,66.69,4.04,2.75,5.21,407.8,383.3,419.7,70593,46634,223129,3
07-04-2023 00:00,1,5.52,4.86,6.33,2.53,-3.38,5.46,-2.06,-4.66,5.64,-3.42,-5.6,1.88,334.99,3.04,357.83,-37.92,-71,20.97,3.75,1.52,5.76,407.7,396.4,425.7,76711,46829,169772,3
07-04-2023 06:00,1,5.07,4.7,5.38,3.77,0.98,4.95,-2.03,-4.64,2.53,-0.48,-4.62,3.85,333.5,4.5,358.37,-5.44,-66.34,51.19,3.01,1.2,4.77,405.2,396.5,424.8,89489,40102,276128,1.667
07-04-2023 12:00,1,4.83,4.42,5.08,4.25,2.3,4.91,-0.23,-2.63,2.14,1.41,-3.08,3.96,357.93,0.25,359.72,17.55,-41.35,54.54,1.91,0.99,4.24,403.5,394.4,416.2,84971,38900,117310,1.667
07-04-2023 18:00,1,4.92,4.32,5.22,3.72,-0.19,4.99,-2.1,-4.47,1.63,-1.43,-4.09,4.04,331.48,2.65,359,-17.05,-58.23,68.39,2.52,0.61,4.71,408.1,397,420.3,84282,24837,238296,1.333
08-04-2023 00:00,1,5.01,4.64,5.19,1.49,-2,4.98,-2.93,-4.73,1.87,-2.37,-4.96,2.08,302.52,2.25,356.46,-28.56,-76.94,24.41,2.86,0.5,4.62,392.8,328.1,440.6,68334,5000,195013,1
08-04-2023 06:00,1,5.06,4.74,5.26,3.22,0.5,4.9,-0.17,-4.6,3.69,1.23,-5.01,4.87,357.33,1.38,358.3,13.96,-76.09,74.89,1.08,0.55,4.58,358.6,327.4,443.6,16815,5000,183663,1.667
