time,sample_count,proton_vx_gse,proton_vy_gse,proton_vz_gse,proton_vx_gsm,proton_vy_gsm,proton_vz_gsm,proton_speed,proton_density,proton_temperature,old_packet_time_flag,fill_flag,proton_peak_unresolved_flag,proton_peak_unbounded_flag,reduced_proton_quality_flag,bad_proton_speed_flag,bad_proton_density_flag,bad_proton_temperature_flag,overall_quality,sample_count,bt,bx_gse,by_gse,bz_gse,theta_gse,phi_gse,bx_gsm,by_gsm,bz_gsm,theta_gsm,phi_gsm,backfill_flag,old_packet_time_flag,fill_flag,low_sample_count_flag,overall_quality
2023-09-27 00:00:00,7,-499.9,49.1,40.7,-499.9,57.8,27,503.9,9.69,208159,0,0,0,0,0,0,0,0,0,2900,2.58,-2.36,-0.69,-0.72,-16.43,196.22,-2.36,-0.85,-0.53,-11.9,199.74,0,0,0,0,0
2023-09-27 00:01:00,6,-497.2,44.3,46.1,-497.2,54.5,33.4,501.3,9.51,225854,0,0,0,0,0,0,0,0,0,2800,2.72,-2.48,-0.56,-0.94,-20.25,192.7,-2.48,-0.78,-0.77,-16.42,197.41,0,0,0,0,0
2023-09-27 00:02:00,8,-497.1,46.2,44.8,-497.1,56,31.7,501.3,9.52,233476,0,0,0,0,0,0,0,0,0,2850,2.72,-2.46,-0.72,-0.89,-19.21,196.23,-2.46,-0.92,-0.68,-14.57,200.47,0,0,0,0,0
2023-09-27 00:03:00,5,-499,50.1,41.8,-499,59,27.8,503.2,9.72,211283,0,0,0,0,0,0,0,0,0,2750,2.67,-2.41,-0.76,-0.84,-18.42,197.57,-2.41,-0.95,-0.62,-13.49,201.54,0,0,0,0,0
2023-09-27 00:04:00,8,-497.2,47.6,45.3,-497.2,57.5,31.8,501.6,9.87,246224,0,0,0,0,0,0,0,0,0,2950,2.7,-2.47,-0.59,-0.92,-19.88,193.35,-2.47,-0.8,-0.74,-15.9,197.94,0,0,0,0,0
2023-09-27 00:05:00,7,-498.9,49.4,33.7,-498.9,56.4,20.1,502.5,9.68,175630,0,0,0,0,0,0,0,0,0,2800,2.83,-2.08,-1.52,-0.09,-1.98,216.18,-2.08,-1.49,0.3,6.67,215.69,0,0,0,0,0
2023-09-27 00:06:00,9,-499.1,52.7,17,-499.1,55.3,3.1,502.1,10.6,125503,0,0,0,0,0,0,0,0,0,2850,2.9,-1.82,-2.22,0.3,6.01,230.64,-1.82,-2.07,0.86,17.24,228.67,0,0,0,0,0
2023-09-27 00:07:00,8,-498.3,52.3,19.2,-498.3,55.5,5.3,501.4,10.32,124533,0,0,0,0,0,0,0,0,0,2900,2.79,-1.81,-2.11,-0.14,-2.96,229.47,-1.81,-2.08,0.4,8.21,229.03,0,0,0,0,0
2023-09-27 00:08:00,8,-498.5,50.1,25,-498.5,54.8,11.5,501.6,10.01,146480,0,0,0,0,0,0,0,0,0,2850,2.79,-2.1,-1.72,-0.61,-12.64,219.21,-2.1,-1.82,-0.15,-3.14,220.78,0,0,0,0,0
2023-09-27 00:09:00,7,-496.4,49.2,25.6,-496.4,54.1,12.2,499.5,10.19,124271,0,0,0,0,0,0,0,0,0,2790,2.1,-1.53,-0.69,-1.21,-35.85,204.35,-1.53,-0.98,-1,-28.78,212.6,0,0,0,0,0
